class,n_instances,sqrtA<4px_cnt,sqrtA<6px_cnt,sqrtA<8px_cnt,sqrtA<10px_cnt,sqrtA<12px_cnt,sqrtA<16px_cnt,sqrtA<20px_cnt,sqrtA<24px_cnt,sqrtA<32px_cnt,sqrtA<4px_pct,sqrtA<6px_pct,sqrtA<8px_pct,sqrtA<10px_pct,sqrtA<12px_pct,sqrtA<16px_pct,sqrtA<20px_pct,sqrtA<24px_pct,sqrtA<32px_pct,maxside<4px_cnt,maxside<6px_cnt,maxside<8px_cnt,maxside<10px_cnt,maxside<12px_cnt,maxside<16px_cnt,maxside<20px_cnt,maxside<24px_cnt,maxside<32px_cnt,maxside<4px_pct,maxside<6px_pct,maxside<8px_pct,maxside<10px_pct,maxside<12px_pct,maxside<16px_pct,maxside<20px_pct,maxside<24px_pct,maxside<32px_pct,ratio<0.001%_cnt,ratio<0.005%_cnt,ratio<0.01%_cnt,ratio<0.05%_cnt,ratio<0.1%_cnt,ratio<0.001%_pct,ratio<0.005%_pct,ratio<0.01%_pct,ratio<0.05%_pct,ratio<0.1%_pct,sqrtA1280_p5,sqrtA1280_p25,sqrtA1280_p50
ALL,138896,3,644,5242,13804,25129,53993,77874,94029,111864,0.002,0.464,3.774,9.938,18.092,38.873,56.066,67.697,80.538,0,0,0,0,0,0,6096,19578,49038,0.0,0.0,0.0,0.0,0.0,0.0,4.389,14.095,35.306,0,1801,11820,84631,109222,0.0,1.297,8.51,60.931,78.636,8.45,13.43,18.41
Fan,609,0,0,1,3,27,87,206,372,507,0.0,0.0,0.164,0.493,4.433,14.286,33.826,61.084,83.251,0,0,0,0,0,0,12,52,216,0.0,0.0,0.0,0.0,0.0,0.0,1.97,8.539,35.468,0,0,3,281,493,0.0,0.0,0.493,46.141,80.952,12.9,17.96,22.07
Guillotine,1674,0,0,0,1,3,39,98,154,343,0.0,0.0,0.0,0.06,0.179,2.33,5.854,9.2,20.49,0,0,0,0,0,0,3,18,62,0.0,0.0,0.0,0.0,0.0,0.0,0.179,1.075,3.704,0,0,1,123,311,0.0,0.0,0.06,7.348,18.578,19.07,35.84,53.11
LPG GAS cylinder,2659,0,0,0,31,84,425,779,1062,1659,0.0,0.0,0.0,1.166,3.159,15.983,29.297,39.94,62.392,0,0,0,0,0,0,72,329,734,0.0,0.0,0.0,0.0,0.0,0.0,2.708,12.373,27.604,0,0,24,858,1547,0.0,0.0,0.903,32.268,58.18,12.81,18.85,27.62
beam,2645,0,0,18,104,267,829,1351,1763,2247,0.0,0.0,0.681,3.932,10.095,31.342,51.078,66.654,84.953,0,0,0,0,0,0,56,179,491,0.0,0.0,0.0,0.0,0.0,0.0,2.117,6.767,18.563,0,5,86,1486,2169,0.0,0.189,3.251,56.181,82.004,10.52,14.81,19.74
drum,1481,0,0,0,3,33,165,354,541,818,0.0,0.0,0.0,0.203,2.228,11.141,23.903,36.529,55.233,0,0,0,0,0,0,24,87,261,0.0,0.0,0.0,0.0,0.0,0.0,1.621,5.874,17.623,0,0,2,431,761,0.0,0.0,0.135,29.102,51.384,13.87,20.29,29.85
handler,1568,0,0,0,0,2,6,10,14,32,0.0,0.0,0.0,0.0,0.128,0.383,0.638,0.893,2.041,0,0,0,0,0,0,1,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.319,0.638,0,0,0,11,28,0.0,0.0,0.0,0.702,1.786,51.93,80.13,92.37
heavy iron,1145,0,0,3,15,51,255,364,503,719,0.0,0.0,0.262,1.31,4.454,22.271,31.79,43.93,62.795,0,0,0,0,0,0,42,133,295,0.0,0.0,0.0,0.0,0.0,0.0,3.668,11.616,25.764,0,0,10,423,698,0.0,0.0,0.873,36.943,60.961,12.23,17.08,25.73
machine,835,0,0,2,17,33,159,250,360,488,0.0,0.0,0.24,2.036,3.952,19.042,29.94,43.114,58.443,0,0,0,0,0,0,39,110,254,0.0,0.0,0.0,0.0,0.0,0.0,4.671,13.174,30.419,0,1,13,288,469,0.0,0.12,1.557,34.491,56.168,12.43,18.17,27.08
mesh,1772,0,0,2,14,82,415,749,987,1353,0.0,0.0,0.113,0.79,4.628,23.42,42.269,55.7,76.354,0,0,0,0,0,0,85,259,615,0.0,0.0,0.0,0.0,0.0,0.0,4.797,14.616,34.707,0,0,10,859,1293,0.0,0.0,0.564,48.476,72.968,12.19,16.3,21.93
mixed steel,2688,0,6,26,114,254,647,1161,1537,2076,0.0,0.223,0.967,4.241,9.449,24.07,43.192,57.18,77.232,0,0,0,0,0,0,70,269,732,0.0,0.0,0.0,0.0,0.0,0.0,2.604,10.007,27.232,0,12,87,1303,1993,0.0,0.446,3.237,48.475,74.144,10.38,16.21,21.93
panel,39988,0,1,61,423,1547,7241,13501,18841,25240,0.0,0.003,0.153,1.058,3.869,18.108,33.763,47.117,63.119,0,0,0,0,0,0,1044,3718,10443,0.0,0.0,0.0,0.0,0.0,0.0,2.611,9.298,26.115,0,11,308,15640,24208,0.0,0.028,0.77,39.112,60.538,12.48,17.67,25.12
pipe,1195,0,0,1,12,79,337,636,846,1103,0.0,0.0,0.084,1.004,6.611,28.201,53.222,70.795,92.301,0,0,0,0,0,0,49,178,382,0.0,0.0,0.0,0.0,0.0,0.0,4.1,14.895,31.967,0,0,5,746,1073,0.0,0.0,0.418,62.427,89.791,11.5,15.4,19.47
plastic,39,0,0,0,0,0,9,17,21,28,0.0,0.0,0.0,0.0,0.0,23.077,43.59,53.846,71.795,0,0,0,0,0,0,0,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.949,30.769,0,0,0,17,28,0.0,0.0,0.0,43.59,71.795,13.14,16.49,21.95
rebar,9185,1,404,2329,4155,5510,6958,7623,8041,8425,0.011,4.398,25.357,45.237,59.989,75.754,82.994,87.545,91.726,0,0,0,0,0,0,421,1261,3318,0.0,0.0,0.0,0.0,0.0,0.0,4.584,13.729,36.124,0,996,3805,7790,8382,0.0,10.844,41.426,84.812,91.257,6.08,7.97,10.5
small pipe,15094,2,207,2335,6064,9460,12986,14281,14736,15012,0.013,1.371,15.47,40.175,62.674,86.034,94.614,97.628,99.457,0,0,0,0,0,0,866,2566,5838,0.0,0.0,0.0,0.0,0.0,0.0,5.737,17.0,38.678,0,680,5279,14497,14978,0.0,4.505,34.974,96.045,99.231,6.88,8.79,10.8
square pipe,6381,0,7,81,469,1190,2953,4113,4766,5535,0.0,0.11,1.269,7.35,18.649,46.278,64.457,74.69,86.742,0,0,0,0,0,0,246,814,1999,0.0,0.0,0.0,0.0,0.0,0.0,3.855,12.757,31.327,0,22,385,4375,5386,0.0,0.345,6.034,68.563,84.407,9.42,12.93,16.53
structure steel,41556,0,16,338,2167,5895,17847,27619,33383,38834,0.0,0.039,0.813,5.215,14.186,42.947,66.462,80.333,93.45,0,0,0,0,0,0,2506,7866,19476,0.0,0.0,0.0,0.0,0.0,0.0,6.03,18.929,46.867,0,60,1635,30141,38143,0.0,0.144,3.934,72.531,91.787,9.93,13.67,17.03
